hidden_size,activation,num_iterations,run,forward_mse,inverse_mse,roundtrip_mse,final_loss,runtime_seconds
1,tanhshrink,1,1,0.17209093272686005,0.0028672469779849052,11.48077392578125,0.1647765242960304,3.209596872329712
1,tanhshrink,1,2,0.1583380252122879,0.003919865470379591,1.5745166540145874,0.16542706498876214,3.187563896179199
1,tanhshrink,1,3,0.166855588555336,0.0031746868044137955,0.40123674273490906,0.16470720851793885,3.2042152881622314
1,tanhshrink,3,1,0.39589372277259827,0.08085395395755768,10.277381896972656,3.3374652415513992,4.596285581588745
1,tanhshrink,3,2,0.22561518847942352,0.08281348645687103,84.22899627685547,4.335743971168995,4.573721170425415
1,tanhshrink,3,3,0.47517716884613037,0.18774302303791046,489.4649658203125,4.549739837646484,4.57245659828186
1,tanhshrink,5,1,0.7608808875083923,0.5762056112289429,20.00752067565918,13.168953865766525,5.75006103515625
1,tanhshrink,5,2,0.4483676850795746,0.3231736719608307,2.6271047592163086,6.097734063863754,5.769575357437134
1,tanhshrink,5,3,0.4782417118549347,0.3852994740009308,2.233672857284546,7.2275610119104385,5.752638816833496
1,tanhshrink,7,1,1.6351284980773926,1.206252098083496,50.96881103515625,36.28053921461105,6.939842462539673
1,tanhshrink,7,2,1.1484462022781372,0.20362430810928345,83.55668640136719,30.46326172351837,6.953104257583618
1,tanhshrink,7,3,2.0331881046295166,0.8017148375511169,3.0842084884643555,52.78241038322449,6.945964336395264
1,tanhshrink,9,1,2.554111957550049,0.756030261516571,23.443571090698242,115.62208485603333,8.128889560699463
1,tanhshrink,9,2,1.0964833498001099,0.9303085207939148,2.5192856788635254,45.43112099170685,7.951376914978027
1,tanhshrink,9,3,0.8308183550834656,0.920606791973114,2.826178789138794,41.683259546756744,7.986770153045654
1,tanhshrink,11,1,2.4487733840942383,0.8865146040916443,11.0269193649292,134.24159026145935,9.265796422958374
1,tanhshrink,11,2,1.0830011367797852,0.6863000988960266,1.984696865081787,53.615498185157776,9.321364879608154
1,tanhshrink,11,3,1.32679283618927,1.078782320022583,8.647247314453125,71.63104403018951,9.304923057556152
1,tanh,1,1,0.16816498339176178,0.0025958241894841194,1.4089771509170532,0.16558804968371987,3.256783962249756
1,tanh,1,2,0.1592891961336136,0.0031911174301058054,1.055968999862671,0.1651175431907177,3.262007713317871
1,tanh,1,3,0.1678650826215744,0.0027541397139430046,0.9026042819023132,0.16322050103917718,3.269521713256836
1,tanh,3,1,0.28861090540885925,0.11194315552711487,1.6013695001602173,5.874277830123901,4.541203498840332
1,tanh,3,2,0.3438628911972046,0.11158591508865356,1.3812642097473145,5.860770180821419,4.530945777893066
1,tanh,3,3,0.5122009515762329,0.43328189849853516,2.752877950668335,7.27801650762558,4.5363383293151855
1,tanh,5,1,0.6435371041297913,0.6154642701148987,1.2329652309417725,22.420209169387817,5.649940252304077
1,tanh,5,2,0.764957845211029,0.2959096133708954,1.3303219079971313,21.013484597206116,5.664987087249756
1,tanh,5,3,0.5513803958892822,0.19721244275569916,1.1535238027572632,23.592935264110565,5.673908472061157
1,tanh,7,1,1.2821635007858276,1.2059634923934937,1.405713677406311,72.01566791534424,6.736279726028442
1,tanh,7,2,0.8618492484092712,0.8110091686248779,1.1065903902053833,43.11430072784424,6.7321202754974365
1,tanh,7,3,0.7878881096839905,0.5627816319465637,1.0483920574188232,42.84416162967682,6.594247341156006
1,tanh,9,1,1.0409125089645386,0.8428128361701965,1.041049838066101,73.71309530735016,7.626732587814331
1,tanh,9,2,0.8532493114471436,0.8897348046302795,1.0094830989837646,69.05556905269623,7.788187503814697
1,tanh,9,3,0.9735169410705566,0.997480571269989,1.1404105424880981,71.76723921298981,7.9045250415802
1,tanh,11,1,0.8640006184577942,0.553709864616394,1.2312331199645996,95.73034286499023,9.168887615203857
1,tanh,11,2,1.3875840902328491,0.9671217799186707,2.9321601390838623,182.61139583587646,9.22909140586853
1,tanh,11,3,1.0913918018341064,0.8337923884391785,1.105008840560913,108.08885669708252,9.276162385940552
1,relu,1,1,0.15420396625995636,0.003490902716293931,1.7861446142196655,0.16471751872450113,3.3713269233703613
1,relu,1,2,0.1576063185930252,0.003376658773049712,0.636681318283081,0.16446311865001917,3.228123903274536
1,relu,1,3,0.1570945829153061,0.003543927101418376,1.6517266035079956,0.15491737565025687,3.11862850189209
1,relu,3,1,0.6891308426856995,0.386885404586792,303.50347900390625,7.690576657652855,4.373046636581421
1,relu,3,2,0.5587957501411438,0.2663800120353699,3.8916032314300537,7.875033065676689,4.362307071685791
1,relu,3,3,1.1797332763671875,0.5350503325462341,1.8353971242904663,8.359974220395088,4.37123966217041
1,relu,5,1,1.4968763589859009,0.509144127368927,2.0524308681488037,22.161674946546555,5.5175042152404785
1,relu,5,2,1.3969097137451172,0.35056471824645996,15.06337833404541,23.240397095680237,5.47321343421936
1,relu,5,3,1.0550357103347778,0.7508692145347595,3.19134259223938,24.714389324188232,5.486080646514893
1,relu,7,1,1.143998384475708,0.6179314255714417,1.4733506441116333,40.27979874610901,6.573812961578369
