hidden_size,activation,num_iterations,run,forward_mse,inverse_mse,roundtrip_mse,final_loss,runtime_seconds
1,tanhshrink,1,1,0.1594560593366623,0.0036941664293408394,18.480588912963867,0.16228502290323377,3.1972856521606445
1,tanhshrink,1,2,0.1678854078054428,0.003574528032913804,18.3382511138916,0.16456307843327522,3.0825555324554443
1,tanhshrink,1,3,0.1656593233346939,0.005081935320049524,11.349482536315918,0.15825410676188767,3.2436914443969727
1,tanhshrink,3,1,0.44980108737945557,0.377399206161499,27.653717041015625,3.9967308044433594,4.708336353302002
1,tanhshrink,3,2,0.536750078201294,0.5211988091468811,1.640048861503601,3.3447519466280937,4.662184715270996
1,tanhshrink,3,3,0.2785830795764923,0.21298451721668243,1.929294228553772,1.839929774403572,4.86557936668396
1,tanhshrink,5,1,0.4133252203464508,0.19691461324691772,2.052408218383789,5.660280078649521,6.05130672454834
1,tanhshrink,5,2,0.6368065476417542,0.6101363301277161,2.995617151260376,7.6642507165670395,6.055441379547119
1,tanhshrink,5,3,2.123170852661133,1.146856427192688,2.9012269973754883,33.690985918045044,6.080502033233643
1,tanhshrink,7,1,0.6496275067329407,0.3791562616825104,2.9929163455963135,13.372362703084946,7.073740720748901
1,tanhshrink,7,2,1.0650619268417358,1.011428952217102,2.2581465244293213,34.05674338340759,7.042879819869995
1,tanhshrink,7,3,0.6162144541740417,0.40099847316741943,2.812936782836914,18.7485853433609,7.1755051612854
1,tanhshrink,9,1,0.9621891975402832,0.5410422086715698,2.7766008377075195,32.444878935813904,8.803547382354736
1,tanhshrink,9,2,1.4473971128463745,1.0451678037643433,12.0523042678833,56.79430150985718,8.593501091003418
1,tanhshrink,9,3,0.6480221748352051,0.6949483752250671,2.781122922897339,30.182430505752563,8.634016036987305
1,tanhshrink,11,1,1.2769948244094849,1.0611153841018677,2.8752381801605225,80.64437055587769,9.867582321166992
1,tanhshrink,11,2,2.958545446395874,1.0164605379104614,9.451254844665527,132.03256750106812,9.863047122955322
1,tanhshrink,11,3,2.3908779621124268,0.7923517823219299,2.745535135269165,150.05518245697021,9.75143814086914
1,tanh,1,1,0.15559305250644684,0.004119145218282938,1.1583861112594604,0.16356932162307203,3.1575117111206055
1,tanh,1,2,0.14915625751018524,0.0028357564006000757,14.307196617126465,0.1601395420730114,3.305769205093384
1,tanh,1,3,0.14966103434562683,0.0030613031703978777,48.34480667114258,0.16799785802140832,3.577746629714966
1,tanh,3,1,0.4437727630138397,0.3252454102039337,4.348310947418213,6.515797063708305,4.881122350692749
1,tanh,3,2,0.5534822344779968,0.29565778374671936,1.1739786863327026,7.128338038921356,4.6115641593933105
1,tanh,3,3,0.5030465722084045,0.17868922650814056,0.9468135237693787,12.986419320106506,4.523408651351929
1,tanh,5,1,0.5555546879768372,0.16065065562725067,0.8605765700340271,20.504023134708405,5.619352579116821
1,tanh,5,2,0.6942335963249207,0.38414421677589417,1.8364461660385132,35.02994430065155,5.603504180908203
1,tanh,5,3,0.9842898845672607,0.5686883330345154,1.0851047039031982,22.103136897087097,5.938859939575195
1,tanh,7,1,0.852249801158905,1.1158862113952637,0.99480801820755,44.08453035354614,7.111720085144043
1,tanh,7,2,0.6318861246109009,0.5797538161277771,1.1578922271728516,41.109121680259705,6.976202487945557
1,tanh,7,3,0.9711551070213318,0.8604856133460999,1.1967461109161377,78.56263518333435,6.956920146942139
1,tanh,9,1,1.8446630239486694,0.9710874557495117,2.2221810817718506,119.71419405937195,8.115465879440308
1,tanh,9,2,0.9103296399116516,0.5782396197319031,0.9203867316246033,70.45642066001892,7.920500040054321
1,tanh,9,3,1.0323930978775024,0.7723057866096497,1.059888482093811,72.30661869049072,7.994751453399658
1,tanh,11,1,1.035950779914856,0.8062482476234436,1.0235528945922852,109.79600143432617,9.03689455986023
1,tanh,11,2,1.3743977546691895,0.8329630494117737,1.9562896490097046,120.5937077999115,9.632989645004272
1,tanh,11,3,0.7325569987297058,0.5909587144851685,0.9043664336204529,96.07343578338623,9.655250549316406
1,relu,1,1,0.1659899652004242,0.003198184072971344,3.7408459186553955,0.16697606537491083,3.279057264328003
1,relu,1,2,0.16125456988811493,0.0024323032703250647,0.9420514106750488,0.16612565889954567,3.2273240089416504
1,relu,1,3,0.16071365773677826,0.0029526755679398775,13.927874565124512,0.1627191468141973,3.5142080783843994
