hidden_size,activation,num_iterations,forward_mse_mean,forward_mse_std,inverse_mse_mean,inverse_mse_std,roundtrip_mse_mean,roundtrip_mse_std,final_loss_mean,final_loss_std,runtime_seconds_mean,runtime_seconds_std
3,leaky_relu,2,0.110492,0.053749,0.041421,0.055983,75.164879,111.42167,1.412034,0.143818,3.654837,0.009294
3,leaky_relu,3,0.126217,0.032132,0.101261,0.105154,648.242813,618.775794,2.580399,0.857609,4.123313,0.054428
3,leaky_relu,4,0.174697,0.04083,0.088547,0.098301,85.856843,55.105074,5.65371,3.875316,4.730633,0.042056
3,leaky_relu,5,0.311431,0.149327,0.208947,0.169575,64.070113,22.349491,8.461329,3.430271,5.156878,0.062214
3,relu,1,0.158986,0.006643,0.002729,0.000445,16.406068,7.688427,0.162569,0.003104,2.93877,0.053505
3,relu,2,0.130582,0.048453,0.02789,0.028485,108.891303,141.190249,1.949036,0.328667,3.523817,0.027604
3,relu,3,0.130543,0.084062,0.101143,0.096861,203.058746,345.324982,5.461564,1.151452,4.158734,0.036363
3,relu,4,0.506151,0.483069,0.25799,0.192586,19.923252,5.86609,13.453038,1.301164,4.678771,0.059943
3,relu,5,0.687261,0.340661,0.408367,0.304689,7.041807,6.298022,23.262466,7.198854,5.317966,0.029352
3,sigmoid,1,0.163908,0.009356,0.00441,0.002215,15.237686,8.608061,0.16209,0.000933,2.866295,0.017325
3,sigmoid,2,0.21966,0.014372,0.088846,0.046684,1.256302,0.720706,2.991488,0.014248,3.604113,0.090448
3,sigmoid,3,0.25781,0.049579,0.154887,0.03481,1.824238,0.216412,8.432413,0.307191,4.149904,0.146558
3,sigmoid,4,0.475553,0.032699,0.376745,0.072198,1.135639,0.335414,18.811114,1.713811,4.588248,0.025774
3,sigmoid,5,0.405804,0.079922,0.218322,0.067395,2.893878,2.404188,29.013959,4.289674,5.116332,0.038003
3,tanh,1,0.169418,0.011941,0.005266,0.002931,42.201594,25.795151,0.163284,0.00025,2.928643,0.046754
3,tanh,2,0.152057,0.07286,0.073444,0.039804,1.803912,0.989926,2.056935,0.103254,3.628217,0.071157
3,tanh,3,0.107592,0.093068,0.152943,0.070555,3.221656,2.067337,5.593907,0.556487,4.137486,0.064696
3,tanh,4,0.152409,0.062121,0.202853,0.041453,2.828079,2.281507,10.262065,0.341223,4.738974,0.052055
3,tanh,5,0.451235,0.209186,0.342666,0.297562,1.736749,0.876363,20.691381,5.501555,5.239908,0.072742
3,tanhshrink,1,0.161683,0.004878,0.003089,0.000756,85.707863,71.659603,0.161715,0.002005,2.860105,0.005314
3,tanhshrink,2,0.101448,0.053664,0.096648,0.052449,119.173319,35.715389,0.474063,0.175532,3.695027,0.177982
3,tanhshrink,3,0.160264,0.056724,0.147391,0.064369,16.677477,22.435689,1.486656,0.23091,4.158805,0.020151
3,tanhshrink,4,0.358957,0.117412,0.224777,0.080618,151.935593,247.983944,6.076659,2.793573,4.847904,0.086164
3,tanhshrink,5,0.384309,0.120156,0.350572,0.11732,35.394464,49.667272,8.968036,2.133531,5.382311,0.010455
4,leaky_relu,1,0.160853,0.001901,0.00342,0.000345,62.729096,53.526337,0.162121,0.001536,3.009627,0.122603
4,leaky_relu,2,0.131315,0.039357,0.051558,0.059578,47.15297,30.071237,1.467545,0.034709,3.71531,0.054285
4,leaky_relu,3,0.07637,0.043232,0.071099,0.047516,246.426277,150.961728,1.907273,0.180852,4.126763,0.077001
4,leaky_relu,4,0.178207,0.062071,0.136343,0.120631,1090.131516,1789.658133,6.345138,3.925693,4.735617,0.158851
4,leaky_relu,5,0.196771,0.097773,0.27281,0.198032,183713.003393,317980.439021,11.275165,3.044047,5.298584,0.072699
4,relu,1,0.15128,0.00961,0.003114,0.000464,60.720795,61.146609,0.160139,0.006495,2.922736,0.046048
4,relu,2,0.088709,0.069871,0.085029,0.061291,79.723812,41.203415,1.837312,0.358895,3.694486,0.112262
4,relu,3,0.065807,0.041806,0.065358,0.027363,47.409406,59.359439,4.859122,0.329244,4.150771,0.026286
4,relu,4,0.237118,0.194097,0.127936,0.158644,66.399706,85.788683,12.142373,4.3573,4.653634,0.021852
4,relu,5,0.410262,0.362165,0.18137,0.113712,36.6265,42.074932,20.614746,3.136728,5.238384,0.052521
4,sigmoid,1,0.166637,0.007879,0.003949,0.000814,17.281507,11.368959,0.163687,0.001967,2.984039,0.077066
4,sigmoid,2,0.182293,0.023729,0.102193,0.0508,2.6135,2.278878,2.876328,0.100438,3.683124,0.071252
4,sigmoid,3,0.216407,0.058643,0.11593,0.064333,1.291263,1.039477,8.076631,0.4132,4.165194,0.088056
4,sigmoid,4,0.231726,0.157758,0.183671,0.087649,5.79428,7.448331,16.316684,2.044133,4.756294,0.156171
4,sigmoid,5,0.393561,0.08447,0.228857,0.061839,1.349222,0.680318,26.810315,1.663257,5.513496,0.129099
4,tanh,1,0.157089,0.008033,0.003941,0.001449,21.458089,12.52037,0.160139,0.003052,2.934564,0.025929
4,tanh,2,0.106635,0.026414,0.115495,0.056009,4.055136,2.853542,1.903449,0.09285,3.629757,0.095869
4,tanh,3,0.062539,0.08612,0.124853,0.087417,3.279166,2.109398,4.976292,0.432858,4.201381,0.089107
4,tanh,4,0.150119,0.058419,0.413803,0.188143,2.334051,0.389878,10.492522,0.945361,4.718619,0.082515
4,tanh,5,0.199952,0.196701,0.303085,0.11684,1.850126,0.529002,17.29847,1.568864,5.157479,0.017191
4,tanhshrink,1,0.166523,0.007855,0.003471,0.000149,20.915246,14.643422,0.159189,0.002417,3.032311,0.095695
4,tanhshrink,2,0.091363,0.05161,0.088836,0.050143,297.787569,483.39454,0.418067,0.113279,3.684285,0.091772
4,tanhshrink,3,0.194939,0.117383,0.163146,0.104122,242.426585,46.761091,1.527231,0.552272,4.182051,0.006772
4,tanhshrink,4,0.230804,0.102171,0.287373,0.324163,11163.278029,19326.520016,5.312825,4.847793,5.009499,0.321475
4,tanhshrink,5,0.318995,0.089006,0.248576,0.072795,4.591939,2.725244,5.39677,2.228374,5.360863,0.002125
5,leaky_relu,1,0.177456,0.011883,0.003682,0.000856,85.654481,84.409808,0.16261,0.001168,2.923647,0.101154
5,leaky_relu,2,0.083611,0.053386,0.062247,0.05054,292.95139,376.839899,1.405056,0.121013,3.511364,0.011008
5,leaky_relu,3,0.115189,0.054131,0.07668,0.074052,489.095409,602.466985,3.184828,1.475997,4.089408,0.025279
5,leaky_relu,4,0.135287,0.08253,0.104068,0.068155,180.521146,199.312651,3.917415,1.760599,4.599641,0.02518
5,leaky_relu,5,0.176571,0.077768,0.201355,0.164468,447.973409,183.388179,6.675461,3.210151,5.308608,0.012903
5,relu,1,0.159313,0.001613,0.003476,0.000737,62.374128,32.407958,0.16365,0.003997,2.871769,0.004897
5,relu,2,0.056653,0.027167,0.062252,0.057078,42.549949,16.452979,2.232798,0.860745,3.636519,0.064449
5,relu,3,0.026949,0.016953,0.144538,0.033136,130.557557,183.912818,4.736651,0.173127,4.245093,0.054248
5,relu,4,0.260826,0.28548,0.169509,0.129637,55.280516,24.354012,11.126899,2.653418,4.700695,0.070202
5,relu,5,0.117923,0.034885,0.089572,0.070502,77.02568,113.662361,18.715715,3.716119,5.769809,0.047566
5,sigmoid,1,0.158059,0.014043,0.003066,0.000151,68.762177,41.989918,0.160334,0.002217,3.014039,0.08635
5,sigmoid,2,0.15819,0.01697,0.078653,0.04637,1.51653,0.507471,2.80378,0.119706,3.649502,0.0387
5,sigmoid,3,0.172855,0.045999,0.088197,0.056741,2.177328,0.31384,7.966908,0.653508,4.227422,0.115563
5,sigmoid,4,0.20792,0.071425,0.230237,0.028138,3.879754,2.219323,15.537159,0.756835,4.647739,0.020661
5,sigmoid,5,0.370172,0.079348,0.281728,0.154144,3.756155,3.256989,27.070656,1.008621,5.138756,0.021533
5,tanh,1,0.153046,0.0093,0.003747,0.000509,91.213161,80.029224,0.159971,0.001928,2.919871,0.010813
5,tanh,2,0.060211,0.039923,0.120326,0.022013,9.068992,6.472484,1.805574,0.168797,3.552292,0.025058
5,tanh,3,0.045057,0.043721,0.15869,0.041606,9.56628,1.734622,5.067388,0.351594,4.087695,0.033036
5,tanh,4,0.079004,0.072197,0.266696,0.064525,5.834007,3.666498,10.365823,0.895076,4.620303,0.018318
5,tanh,5,0.208668,0.223179,0.315394,0.165281,2.518112,1.478758,18.317456,2.716064,5.167887,0.029919
5,tanhshrink,1,0.150912,0.001788,0.003352,0.000476,61.509136,35.49289,0.162878,0.003289,2.879337,0.011733
5,tanhshrink,2,0.066667,0.029954,0.087478,0.054226,184.308306,150.930407,0.413413,0.07587,3.594012,0.05717
5,tanhshrink,3,0.045925,0.00314,0.194032,0.093065,26476.548503,30946.712953,0.870867,0.086556,4.203791,0.006369
5,tanhshrink,4,0.292427,0.185801,0.277803,0.18981,3824.766072,3313.815298,4.81989,3.162951,4.892785,0.030796
5,tanhshrink,5,0.317923,0.109569,0.254823,0.062565,92.893841,148.2005,6.736113,1.506942,5.730385,0.164329
