hidden_size,activation,num_iterations,run,forward_mse,inverse_mse,roundtrip_mse,final_loss,runtime_seconds
1,tanhshrink,1,1,0.16604828834533691,0.0023951504845172167,6.398128509521484,0.16251896135509014,3.0406625270843506
1,tanhshrink,1,2,0.1631721705198288,0.003875655820593238,4.177501678466797,0.15796636138111353,3.03891658782959
1,tanhshrink,1,3,0.1556786149740219,0.0038375232834368944,3.499403238296509,0.16580543061718345,3.3123223781585693
1,tanhshrink,3,1,0.2825734317302704,0.23669296503067017,1.1730443239212036,2.040125545114279,4.7314839363098145
1,tanhshrink,3,2,0.2963666617870331,0.2202831506729126,1.4268417358398438,1.826705191284418,4.841679096221924
1,tanhshrink,3,3,0.3075542449951172,0.19768337905406952,0.8119010329246521,1.9192090146243572,4.613465309143066
1,tanhshrink,5,1,0.7806231379508972,0.5577053427696228,72.09581756591797,14.893736779689789,5.951077699661255
1,tanhshrink,5,2,0.8701723217964172,0.4886699616909027,8.485871315002441,11.710558325052261,5.904757261276245
1,tanhshrink,5,3,0.5658677816390991,0.22441339492797852,65.27226257324219,10.79855889081955,5.765033483505249
1,tanhshrink,7,1,1.0280603170394897,1.051094651222229,2.0535354614257812,33.55244606733322,7.46721887588501
1,tanhshrink,7,2,1.592147946357727,1.3672488927841187,50.89717102050781,42.981167674064636,7.889017105102539
1,tanhshrink,7,3,1.4959689378738403,0.6925278306007385,65.75652313232422,37.04169589281082,7.24064826965332
1,tanhshrink,9,1,2.5055124759674072,0.9837043881416321,4.9729180335998535,91.85593092441559,8.200194597244263
1,tanhshrink,9,2,1.906319260597229,1.0969090461730957,2.76296067237854,65.64342212677002,8.206950426101685
1,tanhshrink,9,3,0.6631395220756531,0.7475773692131042,3.1568000316619873,33.09688717126846,8.399983644485474
1,tanhshrink,11,1,2.688915252685547,1.2351139783859253,17.11381721496582,134.88971281051636,9.582380294799805
1,tanhshrink,11,2,1.0837899446487427,0.7545190453529358,2.863589286804199,81.12265634536743,9.617002487182617
1,tanhshrink,11,3,2.399228572845459,0.9163460731506348,338.6965026855469,118.50743079185486,9.735438108444214
1,tanh,1,1,0.1680905818939209,0.004060066770762205,3.676013231277466,0.1614598506130278,3.362884044647217
1,tanh,1,2,0.16089262068271637,0.004586199764162302,3.043715715408325,0.16069209156557918,3.4678521156311035
1,tanh,1,3,0.15903358161449432,0.004563672002404928,24.341886520385742,0.16064177127555013,3.3720450401306152
1,tanh,3,1,0.341202050447464,0.10017997771501541,1.200724720954895,6.068513751029968,4.463946580886841
1,tanh,3,2,0.40396782755851746,0.17837035655975342,0.6882347464561462,7.122283533215523,4.404892683029175
1,tanh,3,3,0.39869359135627747,0.3596494197845459,3.2672317028045654,6.801964715123177,4.659050226211548
1,tanh,5,1,0.8869578838348389,0.6100538372993469,1.0363680124282837,22.172590792179108,5.911545276641846
1,tanh,5,2,0.5713361501693726,0.09003210067749023,1.2517213821411133,19.716949492692947,5.579669952392578
1,tanh,5,3,0.5269379615783691,0.44968870282173157,1.376659870147705,20.802022337913513,5.972291707992554
1,tanh,7,1,1.107376217842102,1.2545932531356812,2.0209474563598633,78.1798255443573,6.764689207077026
1,tanh,7,2,1.0541337728500366,1.016524076461792,1.8154476881027222,54.80613887310028,6.906630992889404
1,tanh,7,3,0.8338776230812073,0.7049339413642883,0.9784181118011475,40.50533390045166,7.232893943786621
1,tanh,9,1,1.1624259948730469,1.1219731569290161,6.099555969238281,76.33267903327942,7.986811637878418
1,tanh,9,2,1.03611421585083,0.7706137299537659,1.1276522874832153,73.67133462429047,7.562908411026001
1,tanh,9,3,0.8675395846366882,0.8774389624595642,1.0496041774749756,68.40998184680939,7.691674709320068
1,tanh,11,1,2.0516197681427,0.7832117080688477,2.002040147781372,149.22688913345337,9.511067628860474
1,tanh,11,2,1.0754691362380981,1.0978806018829346,1.2379494905471802,110.8259871006012,8.72886610031128
1,tanh,11,3,0.9984994530677795,0.8975906372070312,0.9592904448509216,113.1911985874176,8.593539714813232
1,relu,1,1,0.15921680629253387,0.002768352860584855,5.29148530960083,0.16032244265079498,3.392362594604492
1,relu,1,2,0.1537451297044754,0.0022201414685696363,5.092634677886963,0.16563373734243214,3.2223615646362305
1,relu,1,3,0.1812967211008072,0.020821217447519302,31.880102157592773,0.18702503619715571,3.072883367538452
1,relu,3,1,0.15433287620544434,0.007155461702495813,3.3056375980377197,4.9057705998420715,4.29010534286499
1,relu,3,2,1.2865288257598877,0.4940982758998871,6.285829067230225,8.721945643424988,4.224124908447266
1,relu,3,3,0.574396550655365,0.405465692281723,1.59182608127594,7.561292544007301,4.239098072052002
1,relu,5,1,1.2651286125183105,0.5081071853637695,2.0545289516448975,21.432214230298996,5.41344952583313
1,relu,5,2,0.7177765369415283,0.5179805159568787,4.029768943786621,25.875280439853668,5.704922437667847
1,relu,5,3,0.14016316831111908,0.012052212841808796,3.044475793838501,15.169115513563156,5.478228569030762
1,relu,7,1,0.9969726204872131,0.6395915150642395,3.5472428798675537,46.73639726638794,6.718072175979614
1,relu,7,2,1.0693820714950562,0.3677586615085602,1601.5560302734375,41.955700397491455,7.107813596725464
